CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"21,400.00",195,12.15,20.00,65,-6.90,17.15,19.80,26,20,20,
,-,-,-,-,-,-,-,-,-,-,"21,450.00",65,16.65,18.80,65,-6.55,20.20,20.03,19,18,18,
,-,-,-,-,-,-,-,-,-,-,"21,500.00",65,17.05,18.00,65,-21.60,18.50,19.35,78,31,81,
,-,-,-,-,-,-,-,-,-,-,"21,550.00",65,18.70,20.90,65,-12.50,20.35,19.32,11,11,11,
,-,-,-,-,-,-,-,-,-,-,"21,600.00",65,19.50,21.80,65,-15.05,21.25,19.11,10,10,10,
,-,-,-,-,-,-,-,-,-,-,"21,650.00",65,20.75,23.05,65,-17.75,22.30,18.92,9,9,9,
,-,-,-,-,-,-,-,-,-,-,"21,700.00",65,21.30,23.40,65,-29.70,21.30,18.38,56,11,21,
,-,-,-,-,-,-,-,-,-,-,"21,750.00",65,23.50,25.75,65,-23.15,25.40,18.65,9,9,9,
,-,-,-,-,-,-,-,-,-,-,"21,800.00",65,23.85,26.00,65,-21.85,31.50,19.10,41,37,37,
,-,-,-,-,-,-,-,-,-,-,"21,850.00",65,26.40,28.75,65,-25.80,32.65,18.86,6,6,6,
,-,-,-,-,-,-,-,-,-,-,"21,900.00",65,27.80,30.50,65,-29.05,34.95,18.74,6,6,6,
,-,-,-,-,-,-,-,-,-,-,"21,950.00",65,29.50,32.25,65,-32.80,37.15,18.60,7,7,7,
,-,-,-,-,-,-,-,-,-,-,"22,000.00",65,31.15,33.00,130,-53.00,31.45,17.53,691,356,445,
,-,-,-,-,-,-,-,-,-,-,"22,050.00",65,34.65,36.90,65,-41.65,41.50,18.26,22,11,11,
,-,-,-,-,-,-,-,-,-,-,"22,100.00",65,37.10,39.45,65,-51.10,39.35,17.62,16,9,9,
,-,-,-,-,-,-,-,-,-,-,"22,150.00",65,39.70,42.15,65,-50.90,47.35,18.01,15,9,9,
,-,-,-,-,-,-,-,-,-,-,"22,200.00",65,41.40,44.40,65,-63.20,43.40,17.21,100,61,61,
,-,-,-,-,-,-,-,-,-,-,"22,250.00",65,45.65,48.30,65,-60.50,54.95,17.84,21,11,11,
,-,-,-,-,-,-,-,-,-,-,"22,300.00",65,49.10,52.20,65,-73.75,49.50,16.93,55,7,28,
,-,-,-,-,-,-,-,-,-,-,"22,350.00",65,52.30,55.60,65,-79.70,55.15,16.99,11,10,10,
,-,-,-,-,-,-,-,-,-,-,"22,400.00",65,55.60,58.50,65,-86.45,58.95,16.86,111,60,60,
,-,-,-,-,-,-,-,-,-,-,"22,450.00",65,60.45,64.25,65,-92.70,63.90,16.79,16,11,11,
,-,-,-,-,-,-,-,-,-,-,"22,500.00",65,66.25,69.80,65,-93.95,69.60,16.76,143,26,78,
,-,-,-,-,-,-,-,-,-,-,"22,550.00",65,70.85,74.35,65,-107.60,74.15,16.62,14,12,12,
,-,-,-,-,-,-,-,-,-,-,"22,600.00",65,75.45,79.70,65,-113.00,80.80,16.60,47,18,18,
,-,-,-,-,-,-,-,-,-,-,"22,650.00",65,81.90,86.00,65,-122.45,85.20,16.40,27,22,22,
,-,-,-,-,-,-,-,-,-,-,"22,700.00",130,90.00,92.85,65,-123.40,89.30,16.17,325,-77,35,
,-,-,-,-,-,-,-,-,-,-,"22,750.00",65,94.95,99.80,65,-140.70,96.70,16.12,13,10,10,
,-,-,-,-,-,-,-,-,-,-,"22,800.00",65,102.80,107.15,65,-134.15,107.00,16.21,79,31,43,
,-,-,2,10.98,-,-,-,-,-,-,"22,850.00",65,110.85,115.55,65,-123.35,117.35,16.25,23,20,21,
,-,-,-,-,-,-,-,-,-,-,"22,900.00",65,118.60,124.20,65,-155.45,122.55,16.00,40,37,38,
,-,-,-,-,-,-,-,-,-,-,"22,950.00",65,128.55,133.65,65,-142.95,162.80,17.45,36,35,35,
,11,-,6,11.68,887.25,348.85,65,330.25,933.30,780,"23,000.00",65,138.40,143.45,65,-166.40,141.60,15.86,503,60,152,
,3,1,2,-,637.40,142.95,65,473.50,"1,161.10",910,"23,050.00",65,148.35,154.45,65,-188.35,156.20,15.99,45,38,38,
,-,-,-,-,-,-,910,385.60,"1,122.95",585,"23,100.00",65,161.35,166.15,65,-157.70,168.50,15.98,40,4,37,
,9,-2,2,9.79,731.25,280.70,910,174.65,853.20,910,"23,150.00",65,167.50,184.60,65,-175.50,210.90,17.23,12,10,10,
,22,-3,73,11.41,721.10,292.80,65,728.20,770.10,650,"23,200.00",65,181.60,196.55,65,-207.00,189.25,15.68,78,32,55,
,8,-4,4,11.75,690.10,283.15,"1,820",212.30,769.20,65,"23,250.00",65,193.20,211.60,65,-180.80,206.15,15.77,6,-4,2,
,11,1,71,12.07,660.25,273.65,390,160.45,714.75,65,"23,300.00",65,208.95,218.90,65,-208.40,217.25,15.59,55,17,44,
,7,-,20,11.84,619.15,260.75,520,229.85,675.25,65,"23,350.00",65,218.05,241.15,65,-186.30,236.60,15.71,23,4,6,
,10,8,77,11.87,584.95,251.10,65,60.45,633.20,65,"23,400.00",65,235.85,247.85,65,-130.80,245.30,15.38,32,22,22,
,1,1,1,7.93,458.00,-2.20,910,534.25,768.25,65,"23,450.00",65,246.80,269.65,65,-173.75,357.35,18.96,6,3,3,
,107,-10,219,12.31,530.00,245.25,65,524.35,544.50,65,"23,500.00",65,267.55,284.15,65,-252.65,280.00,15.30,431,-42,85,
,11,-11,41,10.74,457.70,132.95,130,484.30,872.20,65,"23,550.00",65,282.85,307.35,65,-,-,-,-,-,-,
,18,6,69,12.05,461.40,181.45,65,461.45,491.90,65,"23,600.00",65,303.80,322.80,65,-,-,-,-,-,-,
,22,9,41,10.89,400.80,157.80,975,32.70,472.45,910,"23,650.00",65,320.95,344.85,65,-,580.25,15.42,-,-,2,
,38,32,138,11.85,398.75,142.60,65,400.05,457.50,65,"23,700.00",65,350.05,367.25,65,-316.85,355.00,14.97,62,32,38,
,13,5,29,11.01,348.35,83.00,65,370.25,395.00,65,"23,750.00",65,363.40,391.20,65,-,706.00,17.84,-,-,1,
,25,13,69,12.32,359.10,179.35,65,345.95,363.00,65,"23,800.00",65,160.25,"1,183.00",65,-,-,-,-,-,-,
,3,3,3,11.15,301.75,2.40,65,321.80,344.65,65,"23,850.00",65,180.25,"1,220.00",65,-,-,-,-,-,-,
,53,25,97,11.90,299.40,146.05,65,300.95,324.00,65,"23,900.00",130,323.05,850.00,65,-,800.00,17.72,-,-,1,
,33,-7,43,11.80,274.40,133.90,65,280.35,303.65,65,"23,950.00",130,326.00,-,-,-36.95,680.15,22.14,1,-,2,
,338,160,708,12.59,275.00,142.95,65,266.00,274.95,130,"24,000.00",65,480.55,529.35,65,-375.00,520.00,15.39,95,40,45,
,7,7,9,10.37,194.90,-41.65,65,238.00,263.65,65,"24,050.00",455,407.95,-,-,-,949.15,20.87,-,-,7,
,32,9,58,11.86,216.35,104.45,65,230.30,240.65,65,"24,100.00",-,-,-,-,-,991.65,19.91,-,-,1,
,13,5,12,9.40,135.55,37.25,65,203.25,224.35,65,"24,150.00",130,247.00,-,-,-,981.20,17.94,-,-,2,
,49,24,55,12.54,199.35,106.00,260,186.75,206.10,65,"24,200.00",65,318.00,-,-,-,"1,064.70",21.39,-,-,1,
,12,12,13,12.32,178.00,-7.50,65,169.85,194.05,65,"24,250.00",65,344.00,-,-,-,"1,104.30",21.57,-,-,1,
,95,-18,537,11.64,146.55,71.45,65,158.45,176.50,65,"24,300.00",-,-,-,-,-,-,18.00,1,-,-,
,16,16,18,12.33,149.35,-12.75,65,141.75,162.00,65,"24,350.00",-,-,-,-,-,"1,184.10",21.90,-,-,1,
,-,-,-,-,-,-,65,136.15,148.20,65,"24,400.00",-,-,-,-,-,"1,212.00",21.53,-,-,2,
,10,10,11,11.93,115.55,-26.30,65,124.35,130.35,65,"24,450.00",-,-,-,-,-,-,-,-,-,-,
,525,469,"1,294",12.26,111.45,60.60,65,111.50,116.00,65,"24,500.00",-,-,-,-,-,"1,309.65",22.54,-,-,1,
,-,-,-,-,-,-,65,100.90,194.20,910,"24,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,90.65,190.25,"1,820","24,600.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,81.85,281.45,910,"24,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,73.45,171.35,910,"24,700.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,65.90,105.30,910,"24,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,58.45,123.30,910,"24,800.00",-,-,-,-,-,-,18.24,1,-,-,
,-,-,-,-,-,-,65,52.30,189.95,910,"24,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,46.85,67.00,65,"24,900.00",-,-,-,-,-,-,-,-,-,-,
,52,51,160,12.28,43.35,7.80,65,44.95,48.00,65,"24,950.00",-,-,-,-,-,-,-,-,-,-,
,217,131,424,12.66,43.35,23.25,65,40.70,44.15,65,"25,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,33.70,139.80,65,"25,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,450.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,35.00,65,"25,500.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,600.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,700.00",-,-,-,-,-,-,-,-,-,-,
